UNIQUE_ID,DATE,DISTRICT_CURRENT,VDC_MUNICIPALITY,WARD_CURRENT,CASTE_ETHNICITY,SEX_OF_RESPONDENTS,AGE_OF_RESPONDENTS,EDUCATION_OF_RESPONDENTS,WALKING_DISTANCE,Household_Size,Highest_Education,Primary_Occupation,Income,Damage_Category,Months_Recon,Recon_Completed,Amount_Spent,Govt_Grant,Home_Safe,Satisfaction_Level,Freedom_Choice
594217,2018-12-16,2,1,7,27,2,45,7,1,2,3,4,2,4,,20,150000,200000,1,5,5
604218,2018-12-16,2,1,8,77,2,40,7,0,3,2,1,2,4,2,100,700000,200000,1,10,7
614218,2018-12-16,2,1,8,29,2,37,7,0,4,2,1,2,4,,20,50000,50000,1,10,5
624219,2018-12-17,2,1,9,125,2,65,7,0,5,4,1,3,4,,80,300000,200000,1,10,2
634219,2018-12-17,2,1,9,125,2,45,7,0,9,2,1,2,4,3,100,400000,200000,1,10,10
644219,2018-12-17,2,1,9,125,1,60,7,0,3,3,1,4,4,15,100,400000,50000,1,7,10
654219,2018-12-17,2,1,9,125,2,41,7,0,4,3,1,2,4,15,100,200000,200000,1,5,5
664219,2018-12-17,2,1,9,125,1,64,7,0,2,2,1,3,4,2,100,300000,200000,1,10,10
13222,2018-12-07,2,2,2,44,1,38,1,3,7,2,4,3,4,3,100,500000,300000,1,5,5
23222,2018-12-07,2,2,2,44,1,33,1,4,9,2,2,4,4,5,100,350000,300000,1,6,3
33222,2018-12-07,2,2,2,44,2,25,7,5,10,1,1,4,4,,40,100000,50000,1,6,4
43222,2018-12-07,2,2,2,44,1,40,7,3,3,1,4,4,4,4,100,500000,300000,1,7,4
53225,2018-12-09,2,2,5,29,2,48,7,6,6,3,3,3,4,2,100,600000,300000,1,5,6
63227,2018-12-08,2,2,7,44,2,28,2,8,7,2,1,3,4,2,100,250000,0,-1,4,5
73227,2018-12-08,2,2,7,44,2,48,7,8,7,2,1,3,4,12,100,400000,300000,-1,7,4
83227,2018-12-08,2,2,7,44,1,62,7,8,7,2,4,3,4,,80,600000,0,1,5,9
93227,2018-12-08,2,2,7,44,1,22,2,6,5,2,4,4,4,,20,60000,50000,-1,5,4
133224,2018-12-09,2,2,4,9,2,41,7,7,6,2,4,3,4,1,100,600000,300000,-1,6,5
143224,2018-12-09,2,2,4,27,2,60,7,8,9,5,4,5,4,2,100,-1,300000,1,7,6
153224,2018-12-09,2,2,4,9,1,48,1,8,10,4,4,3,4,5,100,500000,200000,1,7,4
163224,2018-12-09,2,2,4,9,1,36,2,6,5,2,2,3,4,3,100,800000,300000,1,5,3
173227,2018-12-09,2,2,7,44,1,30,2,6,4,2,3,3,3,1,100,50000,0,1,5,5
193226,2018-12-10,2,2,6,44,2,85,7,8,5,7,1,3,4,,80,320000,50000,1,8,3
203226,2018-12-10,2,2,6,44,1,26,2,6,3,2,5,3,4,,60,250000,200000,1,8,7
213228,2018-12-10,2,2,8,44,1,62,7,6,3,2,4,2,4,6,100,450000,200000,1,7,7
233228,2018-12-10,2,2,8,44,2,58,7,8,8,3,1,2,4,4,100,400000,300000,1,5,4
243223,2018-12-10,2,2,3,44,1,52,1,5,5,2,2,3,4,3,100,450000,300000,1,8,6
253223,2018-12-10,2,2,3,44,1,47,7,6,7,2,1,2,4,3,100,330000,300000,1,6,6
263221,2018-12-11,2,2,1,44,2,18,2,5,6,3,1,4,4,4,100,450000,300000,1,8,6
273221,2018-12-11,2,2,1,44,2,23,7,5,3,2,1,4,4,,40,160000,50000,1,5,5
283215,2018-12-13,2,1,5,27,2,45,2,0,4,3,1,2,4,3,100,700000,200000,1,8,6
293215,2018-12-13,2,1,5,29,2,40,1,0,7,3,1,3,4,8,100,875000,200000,1,8,8
303215,2018-12-13,2,1,5,29,1,69,1,0,6,3,1,4,4,,20,60000,50000,1,5,4
313215,2018-12-13,2,1,5,29,1,76,7,0,6,3,1,4,4,2,100,700000,200000,1,6,3
323213,2018-12-13,2,1,3,27,1,63,1,0,4,2,1,4,4,1,100,500000,300000,1,8,6
333213,2018-12-13,2,1,3,77,1,58,3,0,7,5,1,6,4,2,100,700000,200000,1,10,8
343213,2018-12-13,2,1,3,77,2,39,1,0,5,2,1,2,4,3,100,500000,200000,1,9,7
352135,2018-12-13,2,1,3,77,1,56,2,0.25,6,4,4,2,4,,80,400000,300000,1,7,3
363211,2018-12-14,2,1,1,27,2,65,7,0,2,7,1,4,4,1,100,450000,300000,1,6,7
373211,2018-12-14,2,1,1,27,2,32,1,0,4,2,1,2,4,,80,300000,50000,1,5,4
383211,2018-12-14,2,1,1,44,2,32,1,0,4,2,1,7,4,,40,110000,50000,1,7,4
393211,2018-12-14,2,1,1,44,2,36,7,0,5,3,1,2,4,,20,200000,200000,1,4,4
403211,2018-12-14,2,1,1,27,1,68,7,0,6,2,1,3,4,2,100,600000,200000,1,8,7
413211,2018-12-14,2,1,1,27,2,35,7,0,6,2,1,4,4,2,100,-1,200000,-1,4,4
423212,2018-12-14,2,1,2,27,1,42,2,0,8,3,1,4,4,,80,800000,50000,1,7,3
433212,2018-12-14,2,1,2,27,2,53,7,0,5,2,1,3,4,2,100,1000000,200000,1,8,7
443212,2018-12-14,2,1,2,27,2,66,7,0,5,7,1,2,4,,20,40000,50000,1,4,6
